time,replay_left_torque_filelog,replay_phi_filelog,replay_right_torque_filelog
0,2.43420343797101,0,0.0709097516311965
0.01,2.49096197666321,0,0.0706434581639453
0.02,2.45315712489111,0,0.0700623329358205
0.03,2.39380181961474,0,0.0690351885703636
0.04,2.68047834657003,0,0.0626848978603143
0.05,2.1655275011091,0,0.0529265693726918
0.06,2.50739463253304,0,0.0394796026276253
0.07,2.65411157539064,0,0.0216909171257329
0.08,2.50586230796227,0,-0.00187744091798496
0.09,2.51733191549241,0,-0.0201986393823958
0.1,2.61105747559285,0,-0.0297065376624597
0.11,2.32063617077675,0,-0.0338677358349144
0.12,2.71880859037889,0,-0.03556665348604
0.13,2.80011799670899,0,-0.0360755028354008
0.14,3.05889358658613,0,-0.0359947890767907
0.15,3.13580682090413,0,-0.035622338013947
0.16,3.14472624171132,0,-0.0351098453949078
0.17,2.94013780983002,0,-0.0345355367911571
0.18,2.86523032729133,0,-0.0339398816919979
0.19,2.63894419919685,0,-0.0333437250144139
0.2,2.87466532417472,0,-0.0327576544847194
0.21,2.55497315912551,0,-0.0321868850122461
0.22,2.84604769402082,0,-0.0316338176680928
0.23,2.84356317560983,0,-0.0310993835255515
0.24,2.84643236431484,0,-0.0257245395990651
0.25,2.76755230204095,0,-0.0104902110020952
0.26,2.79483072427122,0,0.0133691913434431
0.27,2.76466642451105,0,0.035216554486476
0.28,2.47241816997979,0,0.0493991248426047
0.29,2.68745830545264,0,0.0611497797886518
0.3,2.64523462414221,0,0.0736895545408553
0.31,2.60437978094395,0,0.0869391247074775
0.32,2.56999257773176,0,0.103372659550453
0.33,2.54118957946846,0,0.122484961416472
0.34,2.52014451920803,0,0.142043056243457
0.35,2.5040753248737,0,0.162673956225397
0.36,2.49233538109837,0,0.186487560962983
0.37,2.48186751239147,0,0.210130324062551
0.38,2.46748287604952,0,0.247947975643301
0.39,2.45024357826144,0,0.108874651967969
0.4,2.43098483789505,0,0.16472403352481
0.41,2.40994446489236,0,0.243490674225652
