signal,time,value,element_index
replay_left_torque_filelog,1.22,2.36631951548044,1
replay_left_torque_filelog,1.23,2.35698537346359,1
replay_left_torque_filelog,1.24,2.34457117195565,1
replay_left_torque_filelog,1.25,2.33015262076497,1
replay_left_torque_filelog,1.26,2.31360069848311,1
replay_left_torque_filelog,1.27,2.29779862974508,1
replay_left_torque_filelog,1.28,2.28429207154883,1
replay_left_torque_filelog,1.29,2.27335032503197,1
replay_left_torque_filelog,1.3,2.26505943777028,1
replay_left_torque_filelog,1.31,2.25850159205969,1
replay_left_torque_filelog,1.32,2.25294428272937,1
replay_left_torque_filelog,1.33,2.24894513014044,1
replay_left_torque_filelog,1.34,2.24521784800736,1
replay_left_torque_filelog,1.35,2.24157506722628,1
replay_left_torque_filelog,1.36,2.38450568447604,1
replay_left_torque_filelog,1.37,2.23047192145283,1
replay_left_torque_filelog,1.38,2.22271058201209,1
replay_left_torque_filelog,1.39,2.21553716451611,1
replay_left_torque_filelog,1.4,2.20932213699313,1
replay_left_torque_filelog,1.41,2.20380752051524,1
replay_left_torque_filelog,1.42,2.19830873620401,1
replay_left_torque_filelog,1.43,2.19372385995483,1
replay_left_torque_filelog,1.44,2.18658870410045,1
replay_left_torque_filelog,1.45,2.17983068564363,1
replay_left_torque_filelog,1.46,2.17365882550024,1
replay_left_torque_filelog,1.47,2.16790482895668,1
replay_left_torque_filelog,1.48,2.16296785309938,1
replay_left_torque_filelog,1.49,2.15922091842118,1
replay_left_torque_filelog,1.5,2.15626395850775,1
replay_left_torque_filelog,1.51,2.15329308511577,1
replay_left_torque_filelog,1.52,2.15003295074184,1
replay_left_torque_filelog,1.53,2.12858751699824,1
replay_left_torque_filelog,1.54,2.13509876728464,1
replay_left_torque_filelog,1.55,2.12811067903112,1
replay_left_torque_filelog,1.56,2.12208104179515,1
replay_left_torque_filelog,1.57,2.12135578960419,1
replay_left_torque_filelog,1.58,2.11655206928417,1
replay_left_torque_filelog,1.59,2.53559227763695,1
replay_left_torque_filelog,1.6,2.20001464193672,1
replay_left_torque_filelog,1.61,2.21999806626764,1
replay_left_torque_filelog,1.62,2.24792559230195,1
replay_left_torque_filelog,1.63,2.26257559978737,1
replay_left_torque_filelog,1.64,2.27717714625306,1
replay_left_torque_filelog,1.65,2.28950339142224,1
replay_left_torque_filelog,1.66,2.29867303325389,1
replay_left_torque_filelog,1.67,2.30422376862809,1
replay_left_torque_filelog,1.68,2.30720526047154,1
replay_left_torque_filelog,1.69,2.31044318322249,1
replay_left_torque_filelog,1.7,2.31841051339024,1
replay_left_torque_filelog,1.71,2.33446316138084,1
replay_left_torque_filelog,1.72,2.3587902928161,1
replay_left_torque_filelog,1.73,2.3900896550078,1
replay_left_torque_filelog,1.74,2.4260757049482,1
replay_left_torque_filelog,1.75,2.46270142893952,1
replay_left_torque_filelog,1.76,2.49780795563128,1
replay_left_torque_filelog,1.77,2.53189979119497,1
replay_left_torque_filelog,1.78,2.56257422269856,1
replay_left_torque_filelog,1.79,2.57840260121921,1
replay_left_torque_filelog,1.8,2.42119155081882,1
replay_left_torque_filelog,1.81,2.63295516517494,1
replay_left_torque_filelog,1.82,2.65652062591738,1
replay_left_torque_filelog,1.83,2.68696426511827,1
replay_left_torque_filelog,1.84,2.731738208388,1
replay_left_torque_filelog,1.85,2.47456873504971,1
replay_left_torque_filelog,1.86,2.50220805121674,1
replay_left_torque_filelog,1.87,2.79604114491657,1
replay_left_torque_filelog,1.88,2.79830191981998,1
replay_left_torque_filelog,1.89,2.80611963699092,1
replay_left_torque_filelog,1.9,2.70081851511266,1
replay_left_torque_filelog,1.91,2.63892444891979,1
replay_left_torque_filelog,1.92,2.66042896782507,1
replay_left_torque_filelog,1.93,2.89578053128994,1
replay_left_torque_filelog,1.94,2.83754169544601,1
replay_left_torque_filelog,1.95,2.69408378818989,1
replay_left_torque_filelog,1.96,2.65799687717949,1
replay_left_torque_filelog,1.97,2.5164474054551,1
replay_left_torque_filelog,1.98,2.50002659818879,1
replay_left_torque_filelog,1.99,2.09198109099451,1
replay_left_torque_filelog,2,2.27771489605112,1
replay_left_torque_filelog,2.01,2.42465978570881,1
replay_left_torque_filelog,2.02,2.28034044579709,1
