time,BusIn_1_LeftShoulderMotorActuralPosition,BusIn_1_LeftShoulderMotorActuralVelocity,BusIn_1_LeftShoulderMotorActuralTorque,BusIn_1_LeftShoulderMotorDCLinkCircuitVoltage,BusIn_1_RightShoulderMotorActuralPosition,BusIn_1_RightShoulderMotorActuralVelocity,BusIn_1_RightShoulderMotorActuralTorque,BusIn_1_RightShoulderMotorDCLinkCircuitVoltage,BusIn_1_LeftHipMotorActuralPosition,BusIn_1_LeftHipMotorActuralVelocity,BusIn_1_LeftHipMotorActuralTorque,BusIn_1_LeftHipMotorDCLinkCircuitVoltage,BusIn_1_RightHipMotorActuralPosition,BusIn_1_RightHipMotorActuralVelocity,BusIn_1_RightHipMotorActuralTorque,BusIn_1_RightHipMotorDCLinkCircuitVoltage,BusIn_1_LeftShoulderMotorSensorADCh1,BusIn_1_LeftShoulderMotorSensorADCh2,BusIn_1_LeftShoulderMotorSensorIMUq0,BusIn_1_LeftShoulderMotorSensorIMUq1,BusIn_1_LeftShoulderMotorSensorIMUq2,BusIn_1_LeftShoulderMotorSensorIMUq3,BusIn_1_RightShoulderMotorSensorADCh1,BusIn_1_RightShoulderMotorSensorADCh2,BusIn_1_RightShoulderMotorSensorIMUq0,BusIn_1_RightShoulderMotorSensorIMUq1,BusIn_1_RightShoulderMotorSensorIMUq2,BusIn_1_RightShoulderMotorSensorIMUq3,BusIn_1_LeftHipMotorSensorADCh1,BusIn_1_LeftHipMotorSensorADCh2,BusIn_1_LeftHipMotorSensorIMUq0,BusIn_1_LeftHipMotorSensorIMUq1,BusIn_1_LeftHipMotorSensorIMUq2,BusIn_1_LeftHipMotorSensorIMUq3,BusIn_1_RightHipMotorSensorADCh1,BusIn_1_RightHipMotorSensorADCh2,BusIn_1_RightHipMotorSensorIMUq0,BusIn_1_RightHipMotorSensorIMUq1,BusIn_1_RightHipMotorSensorIMUq2,BusIn_1_RightHipMotorSensorIMUq3,BusIn_1_WaistSensorADCh1,BusIn_1_WaistSensorADCh2,BusIn_1_WaistSensorIMUq0,BusIn_1_WaistSensorIMUq1,BusIn_1_WaistSensorIMUq2,BusIn_1_WaistSensorIMUq3,BusIn_1_LeftHipSensorADCh1,BusIn_1_LeftHipSensorADCh2,BusIn_1_LeftHipSensorIMUq0,BusIn_1_LeftHipSensorIMUq1,BusIn_1_LeftHipSensorIMUq2,BusIn_1_LeftHipSensorIMUq3,BusIn_1_RightHipSensorADCh1,BusIn_1_RightHipSensorADCh2,BusIn_1_RightHipSensorIMUq0,BusIn_1_RightHipSensorIMUq1,BusIn_1_RightHipSensorIMUq2,BusIn_1_RightHipSensorIMUq3
17.474,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0141400000019765,24673,-2.0244140625,0,0,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0737957709835586,NaN,0,0,0,0,0.559451723267249,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.475,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.233952538820849,NaN,0,0,0,0,0.657779601902098,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.476,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0141400000019765,24699,-2.0244140625,0,-0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.22757020187092,NaN,0,0,0,0,0.657779601902098,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.477,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24673,-2.0244140625,0,0,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.233055022687266,NaN,0,0,0,0,0.571618053078051,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.478,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24699,-2.0244140625,0,-0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.233055022687266,NaN,0,0,0,0,0.70115954835865,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.479,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0141400000019765,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.199148857640766,NaN,0,0,0,0,0.70115954835865,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.48,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0141400000019765,24699,-2.0244140625,0,-0.0141400000019765,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0500614554510087,NaN,0,0,0,0,0.569124952706985,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.481,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0141400000019765,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.221387312950676,NaN,0,0,0,0,0.658078773946626,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.482,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0424200000059294,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.169032205158286,NaN,0,0,0,0,0.658078773946626,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.483,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0282800000039529,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.210816567377355,NaN,0,0,0,0,0.57381198140459,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.484,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24673,-2.0244140625,0,-0.0707000000098823,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.210816567377355,NaN,0,0,0,0,0.705447680996883,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.485,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.0141400000019765,24957,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.193265140765049,NaN,0,0,0,0,0.705447680996883,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.486,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24673,-2.0244140625,0,-0.0565600000079058,24957,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0382940216995764,NaN,0,0,0,0,0.570221916870254,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.487,0,0,0,0,0,0,0,0,-0.291748046875,0,0,24699,-2.0244140625,0,-0.0707000000098823,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.212811047674208,NaN,0,0,0,0,0.679120541078425,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.488,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0707000000098823,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.192866244705679,NaN,0,0,0,0,0.679120541078425,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.489,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.0282800000039529,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0446763586495058,NaN,0,0,0,0,0.535119063645643,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.49,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.0282800000039529,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.247515004839449,NaN,0,0,0,0,0.515672880751327,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.491,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0565600000079058,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.177708194449597,NaN,0,0,0,0,0.515672880751327,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.492,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.0707000000098823,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.214506355926533,NaN,0,0,0,0,0.812950168997257,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.493,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0282800000039529,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.214506355926533,NaN,0,0,0,0,0.725093311920885,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.494,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.0989800000138352,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.185187495562795,NaN,0,0,0,0,0.725093311920885,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.495,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0424200000059294,24699,-2.0244140625,0,-0.0707000000098823,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0518564877181763,NaN,0,0,0,0,0.525046938146535,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.496,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24699,-2.0244140625,0,-0.0989800000138352,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.229265510123245,NaN,0,0,0,0,0.667452831341835,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.497,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0707000000098823,24699,-2.0244140625,0,-0.0707000000098823,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.165142968579423,NaN,0,0,0,0,0.667452831341835,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.498,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24699,-2.0244140625,0,-0.0848400000118588,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.198749961581395,NaN,0,0,0,0,0.547385117471288,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.499,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0282800000039529,24699,-2.0244140625,0,-0.0989800000138352,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.198749961581395,NaN,0,0,0,0,0.671441791935541,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.5,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0707000000098823,24725,-2.0244140625,0,-0.0707000000098823,24931,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.150682986427239,NaN,0,0,0,0,0.671441791935541,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.501,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24673,-2.0244140625,0,-0.113120000015812,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0360003693581955,NaN,0,0,0,0,0.524747766102007,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.502,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0565600000079058,24699,-2.0244140625,0,-0.0989800000138352,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.237442879340342,NaN,0,0,0,0,0.667053935282464,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.503,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0707000000098823,24699,-2.0244140625,0,-0.0989800000138352,24880,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.159957319807605,NaN,0,0,0,0,0.667053935282464,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.504,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0848400000118588,24673,-2.0244140625,0,-0.113120000015812,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.0556460002821969,NaN,0,0,0,0,0.511384748113093,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
17.505,0,0,0,0,0,0,0,0,-0.291748046875,0,-0.0707000000098823,24699,-2.0244140625,0,-0.113120000015812,24906,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0.25958161063541,NaN,0,0,0,0,0.681115021375278,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0,0,0
