time,replay_phi,replay_left_torque,replay_right_torque
0.25,0,2.49555980044443,0.23531055656339
0.5,0,2.38869281781136,-0.022499160856092
0.75,0,2.45279548507767,-0.362369918907832
1,0,2.2313773741886,0.16025218593476
1.25,0,2.3269299432652,-0.0626950483230097
1.5,0,2.49842859495628,0.0920947221494147
1.75,0,2.16496235470844,-0.264895876338074
2,0,2.17877810623819,-0.292767463468996
2.25,0,2.37305324283374,-0.308382517430417
2.5,0,2.2327777826964,-0.0199307657706086
2.75,0,2.20100194355972,-0.406433472971517
3,0,2.22993341230191,-0.214131799045195
3.25,0,1.99610520528037,-0.424243285024703
3.5,0,2.19249449827912,-0.413935957873763
3.75,0,2.2113340392123,-0.182523652295438
4,0,2.76446269229383,0.285801237516871
4.25,0,2.72168663018657,-0.300274231369558
4.5,0,2.75887926513862,0.0745440135337479
4.75,0,2.95301730150532,-0.497276256898472
5,0,2.80943026609838,-0.374154407313564
