Name,BlockType,Parent,Parameter,Sources,Destinations,Path
Switch,Switch,TestStructure/InterForceControlTask/AO,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/AO/Demux,TestStructure/InterForceControlTask/AO/Filter,TestStructure/InterForceControlTask/AO/Switch
TBaseDefault,Constant,TestStructure/InterForceControlTask/AO,"Value=2.2",,TestStructure/InterForceControlTask/AO/ColdStartEventGate; TestStructure/InterForceControlTask/AO/PhaseCorrection,TestStructure/InterForceControlTask/AO/TBaseDefault
Constant1,Constant,TestStructure/InterForceControlTask,"Value=0",,,TestStructure/InterForceControlTask/Constant1
Constant2,Constant,TestStructure/InterForceControlTask,"Value=0",,,TestStructure/InterForceControlTask/Constant2
Constant3,Constant,TestStructure/InterForceControlTask,"Value=0",,TestStructure/InterForceControlTask/Bus Creator,TestStructure/InterForceControlTask/Constant3
Constant4,Constant,TestStructure/InterForceControlTask,"Value=0",,TestStructure/InterForceControlTask/Bus Creator,TestStructure/InterForceControlTask/Constant4
Amplitude,Constant,TestStructure/InterForceControlTask/DMP,"Value=1.0",,TestStructure/InterForceControlTask/DMP/MATLAB Function8,TestStructure/InterForceControlTask/DMP/Amplitude
Chunksize_manual,Constant,TestStructure/InterForceControlTask/DMP,"Value=10",,TestStructure/InterForceControlTask/DMP/MATLAB Function6,TestStructure/InterForceControlTask/DMP/Chunksize_manual
ComputeTicks,Constant,TestStructure/InterForceControlTask/DMP,"Value=1",,TestStructure/InterForceControlTask/DMP/MATLAB Function6; TestStructure/InterForceControlTask/DMP/compute_chunk2,TestStructure/InterForceControlTask/DMP/ComputeTicks
Delay Input1,UnitDelay,TestStructure/InterForceControlTask/DMP/Detect Rise Positive1,"InitialCondition=vinit",TestStructure/InterForceControlTask/DMP/Detect Rise Positive1/Positive,TestStructure/InterForceControlTask/DMP/Detect Rise Positive1/FixPt Relational Operator,TestStructure/InterForceControlTask/DMP/Detect Rise
Positive1/Delay Input1
Constant,Constant,TestStructure/InterForceControlTask/DMP/Detect Rise Positive1/Positive,"Value=0",,TestStructure/InterForceControlTask/DMP/Detect Rise Positive1/Positive/Compare,TestStructure/InterForceControlTask/DMP/Detect Rise
Positive1/Positive/Constant
Delay Input1,UnitDelay,TestStructure/InterForceControlTask/DMP/Detect Rise Positive2,"InitialCondition=vinit",TestStructure/InterForceControlTask/DMP/Detect Rise Positive2/Positive,TestStructure/InterForceControlTask/DMP/Detect Rise Positive2/FixPt Relational Operator,TestStructure/InterForceControlTask/DMP/Detect Rise
Positive2/Delay Input1
Constant,Constant,TestStructure/InterForceControlTask/DMP/Detect Rise Positive2/Positive,"Value=0",,TestStructure/InterForceControlTask/DMP/Detect Rise Positive2/Positive/Compare,TestStructure/InterForceControlTask/DMP/Detect Rise
Positive2/Positive/Constant
Delay Input1,UnitDelay,TestStructure/InterForceControlTask/DMP/Detect Rise Positive3,"InitialCondition=vinit",TestStructure/InterForceControlTask/DMP/Detect Rise Positive3/Positive,TestStructure/InterForceControlTask/DMP/Detect Rise Positive3/FixPt Relational Operator,TestStructure/InterForceControlTask/DMP/Detect Rise
Positive3/Delay Input1
Constant,Constant,TestStructure/InterForceControlTask/DMP/Detect Rise Positive3/Positive,"Value=0",,TestStructure/InterForceControlTask/DMP/Detect Rise Positive3/Positive/Compare,TestStructure/InterForceControlTask/DMP/Detect Rise
Positive3/Positive/Constant
Memory1,Memory,TestStructure/InterForceControlTask/DMP,"InitialCondition=0",TestStructure/InterForceControlTask/DMP/Phase0Event,TestStructure/InterForceControlTask/DMP/Detect Rise Positive1; TestStructure/InterForceControlTask/DMP/Memory2; TestStructure/InterForceControlTask/DMP/compute_chunk2,TestStructure/InterForceControlTask/DMP/Memory1
Memory2,Memory,TestStructure/InterForceControlTask/DMP,"InitialCondition=0",TestStructure/InterForceControlTask/DMP/Memory1,TestStructure/InterForceControlTask/DMP/Phase_shifter; TestStructure/InterForceControlTask/DMP/Subsystem,TestStructure/InterForceControlTask/DMP/Memory2
Gain1,Gain,TestStructure/InterForceControlTask/DMP/Subsystem,"Gain=1/1000",TestStructure/InterForceControlTask/DMP/Subsystem/PhiOmega_DelayRebuild,,TestStructure/InterForceControlTask/DMP/Subsystem/Gain1
MinBasePeriod,Constant,TestStructure/InterForceControlTask/DMP/Subsystem,"Value=0.005",,TestStructure/InterForceControlTask/DMP/Subsystem/BasePeriodFloor,TestStructure/InterForceControlTask/DMP/Subsystem/MinBasePeriod
dt1,Constant,TestStructure/InterForceControlTask/DMP/Subsystem,"Value=0.001",,TestStructure/InterForceControlTask/DMP/Subsystem/BaseNormalizedStep; TestStructure/InterForceControlTask/DMP/Subsystem/DelaySamplesFromPrev; TestStructure/InterForceControlTask/DMP/Subsystem/PhiOmega_DelayRebuild,TestStructure/InterForceControlTask/DMP/Subsystem/dt1
Switch,Switch,TestStructure/InterForceControlTask/DMP,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/Demux,TestStructure/InterForceControlTask/DMP/MATLAB Function3,TestStructure/InterForceControlTask/DMP/Switch
Switch1,Switch,TestStructure/InterForceControlTask/DMP,"Criteria=u2 ~= 0, Threshold=0",TestStructure/InterForceControlTask/DMP/Bus Creator; TestStructure/InterForceControlTask/DMP/ParamLatch; TestStructure/InterForceControlTask/DMP/phase_offset,TestStructure/InterForceControlTask/DMP/Bus Selector,TestStructure/InterForceControlTask/DMP/Switch1
Switch2,Switch,TestStructure/InterForceControlTask/DMP,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/DMP/Demux1; TestStructure/InterForceControlTask/DMP/Logical Operator,TestStructure/InterForceControlTask/DMP/MATLAB Function8,TestStructure/InterForceControlTask/DMP/Switch2
