Name,BlockType,Parent,Parameter,Sources,Destinations,Path
Constant1,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem3,"Value=0",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem3/Out2,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action
Subsystem3/Constant1
Switch,Switch,TestStructure/InterForceControlTask/TorqueController/Subsystem2,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/TorqueController/Subsystem2/Constant1; TestStructure/InterForceControlTask/TorqueController/Subsystem2/Gain2; TestStructure/InterForceControlTask/TorqueController/Subsystem2/Product,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If2; TestStructure/InterForceControlTask/TorqueController/Subsystem2/Moving Maximum,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Switch
threadhold,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2,"Value=0.1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2,TestStructure/InterForceControlTask/TorqueController/Subsystem2/threadhold
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/TorqueManager/activity <= 0,"Value=const",,TestStructure/InterForceControlTask/TorqueController/TorqueManager/activity <= 0/Compare,TestStructure/InterForceControlTask/TorqueController/TorqueManager/activity <= 0/Constant
base_gain 0..1,Saturate,TestStructure/InterForceControlTask/TorqueController/TorqueManager,"Upper=1, Lower=0",TestStructure/InterForceControlTask/TorqueController/TorqueManager/MO_step ramp ? per 5,TestStructure/InterForceControlTask/TorqueController/TorqueManager/current_gain; TestStructure/InterForceControlTask/TorqueController/TorqueManager/torque gate,TestStructure/InterForceControlTask/TorqueController/TorqueManager/base_gain 0..1
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/TorqueManager/if activity,"Value=const",,TestStructure/InterForceControlTask/TorqueController/TorqueManager/if activity/Compare,TestStructure/InterForceControlTask/TorqueController/TorqueManager/if activity/Constant
prev_activity,UnitDelay,TestStructure/InterForceControlTask/TorqueController/TorqueManager,"InitialCondition=0",TestStructure/InterForceControlTask/TorqueController/TorqueManager/activity_enable,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_activity > 0,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_activity
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_activity > 0,"Value=const",,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_activity > 0/Compare,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_activity > 0/Constant
prev_peak,UnitDelay,TestStructure/InterForceControlTask/TorqueController/TorqueManager,"InitialCondition=0",TestStructure/InterForceControlTask/TorqueController/TorqueManager/valid_peak,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_peak <= 0.5,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_peak
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_peak <= 0.5,"Value=const",,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_peak <= 0.5/Compare,TestStructure/InterForceControlTask/TorqueController/TorqueManager/prev_peak <= 0.5/Constant
step_count 0..5,Saturate,TestStructure/InterForceControlTask/TorqueController/TorqueManager,"Upper=5, Lower=0",TestStructure/InterForceControlTask/TorqueController/TorqueManager/count + step,TestStructure/InterForceControlTask/TorqueController/TorqueManager/MO_step ramp ? per 5; TestStructure/InterForceControlTask/TorqueController/TorqueManager/step_count memory,TestStructure/InterForceControlTask/TorqueController/TorqueManager/step_count 0..5
step_count memory,UnitDelay,TestStructure/InterForceControlTask/TorqueController/TorqueManager,"InitialCondition=0.0",TestStructure/InterForceControlTask/TorqueController/TorqueManager/step_count 0..5,TestStructure/InterForceControlTask/TorqueController/TorqueManager/count + step,TestStructure/InterForceControlTask/TorqueController/TorqueManager/step_count memory
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/TorqueManager/valid_peak > 0.5,"Value=const",,TestStructure/InterForceControlTask/TorqueController/TorqueManager/valid_peak > 0.5/Compare,TestStructure/InterForceControlTask/TorqueController/TorqueManager/valid_peak > 0.5/Constant
ContactRelay,Relay,TestStructure/InterForceControlTask/Torque_Guard,"",TestStructure/InterForceControlTask/Torque_Guard/LeftLowPass,TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate,TestStructure/InterForceControlTask/Torque_Guard/ContactRelay
LeftLowPass,DiscreteTransferFcn,TestStructure/InterForceControlTask/Torque_Guard,"Numerator=0.05, Denominator=[1 -0.95]",TestStructure/InterForceControlTask/Torque_Guard/Switch2,TestStructure/InterForceControlTask/Torque_Guard/ContactRelay,TestStructure/InterForceControlTask/Torque_Guard/LeftLowPass
Gain,Gain,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Gain=-1",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/<RightHipMotorActuralPosition>,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Relay,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Gain
Gain1,Gain,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Gain=-1",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/<LeftHipMotorActuralPosition>,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Relay1,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Gain1
Relay,Relay,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Gain,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Logical Operator2,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Relay
Relay1,Relay,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Gain1,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Logical Operator2,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Relay1
SafeTorque,Constant,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Value=20",,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch1; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch4,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/SafeTorque
Switch,Switch,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/<LeftHipMotorActuralPosition>; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/<RightHipMotorActuralPosition>; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/<WhichFoot>,,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch
Switch1,Switch,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Logical Operator; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/RightHipMotorTorque; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/SafeTorque,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch2,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch1
Switch2,Switch,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Logical Operator3; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/RightHipMotorTorque; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch1,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/RightHipMotorTorque_safe,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch2
Switch3,Switch,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/LeftHipMotorTorque; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Logical Operator4; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch4,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/LeftHipMotorTorque_safe,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch3
Switch4,Switch,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/LeftHipMotorTorque; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Logical Operator; TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/SafeTorque,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch3,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect/Switch4
Switch2,Switch,TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate/In2; TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate/In3; TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate/tau_e,TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate/Out1,TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate/Switch2
Switch,Switch,TestStructure/InterForceControlTask/Torque_Guard,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/MO_HealthLegdefault; TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate; TestStructure/InterForceControlTask/Torque_Guard/WhichFoot,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,TestStructure/InterForceControlTask/Torque_Guard/Switch
Switch1,Switch,TestStructure/InterForceControlTask/Torque_Guard,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/MO_HealthLegdefault; TestStructure/InterForceControlTask/Torque_Guard/MinimumTauGate; TestStructure/InterForceControlTask/Torque_Guard/WhichFoot,TestStructure/InterForceControlTask/Torque_Guard/LimitProtect,TestStructure/InterForceControlTask/Torque_Guard/Switch1
Switch2,Switch,TestStructure/InterForceControlTask/Torque_Guard,"Criteria=u2 > Threshold, Threshold=0",TestStructure/InterForceControlTask/Torque_Guard/Demux; TestStructure/InterForceControlTask/Torque_Guard/Logical Operator,TestStructure/InterForceControlTask/Torque_Guard/LeftLowPass,TestStructure/InterForceControlTask/Torque_Guard/Switch2
ref_q_max,Constant,TestStructure/InterForceControlTask,"Value=0",,TestStructure/InterForceControlTask/Switch3,TestStructure/InterForceControlTask/ref_q_max
